sample,condition
SRR13687743,Control
SRR13687744,Control
SRR13687745,Control
SRR13687746,Control
SRR13687747,Control
SRR13687748,Control
SRR13687749,Control
SRR13687750,Control
SRR13687751,Control
SRR13687752,RIF_0.008
SRR13687753,RIF_0.008
SRR13687754,RIF_0.008
SRR13687755,RIF_0.008
SRR13687756,RIF_0.008
SRR13687757,RIF_0.008
SRR13687758,RIF_0.008
SRR13687759,RIF_0.008
SRR13687760,RIF_0.008
SRR13687761,RIF_0.002
SRR13687762,RIF_0.002
SRR13687763,RIF_0.002
SRR13687764,RIF_0.002
SRR13687765,RIF_0.002
SRR13687766,RIF_0.002
SRR13687767,RIF_0.002
SRR13687768,RIF_0.002
SRR13687769,RIF_0.002
