# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "exon" "-g" "gene_id" "-a" "reference/annotation.gtf" "-o" "comptage/counts.txt" "mapping/SRR13687743.sorted.bam" "mapping/SRR13687744.sorted.bam" "mapping/SRR13687745.sorted.bam" "mapping/SRR13687746.sorted.bam" "mapping/SRR13687747.sorted.bam" "mapping/SRR13687748.sorted.bam" "mapping/SRR13687749.sorted.bam" "mapping/SRR13687750.sorted.bam" "mapping/SRR13687751.sorted.bam" "mapping/SRR13687752.sorted.bam" "mapping/SRR13687753.sorted.bam" "mapping/SRR13687754.sorted.bam" "mapping/SRR13687755.sorted.bam" "mapping/SRR13687756.sorted.bam" "mapping/SRR13687757.sorted.bam" "mapping/SRR13687758.sorted.bam" "mapping/SRR13687759.sorted.bam" "mapping/SRR13687760.sorted.bam" "mapping/SRR13687761.sorted.bam" "mapping/SRR13687762.sorted.bam" "mapping/SRR13687763.sorted.bam" "mapping/SRR13687764.sorted.bam" "mapping/SRR13687765.sorted.bam" "mapping/SRR13687766.sorted.bam" "mapping/SRR13687767.sorted.bam" "mapping/SRR13687768.sorted.bam" "mapping/SRR13687769.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/SRR13687743.sorted.bam	mapping/SRR13687744.sorted.bam	mapping/SRR13687745.sorted.bam	mapping/SRR13687746.sorted.bam	mapping/SRR13687747.sorted.bam	mapping/SRR13687748.sorted.bam	mapping/SRR13687749.sorted.bam	mapping/SRR13687750.sorted.bam	mapping/SRR13687751.sorted.bam	mapping/SRR13687752.sorted.bam	mapping/SRR13687753.sorted.bam	mapping/SRR13687754.sorted.bam	mapping/SRR13687755.sorted.bam	mapping/SRR13687756.sorted.bam	mapping/SRR13687757.sorted.bam	mapping/SRR13687758.sorted.bam	mapping/SRR13687759.sorted.bam	mapping/SRR13687760.sorted.bam	mapping/SRR13687761.sorted.bam	mapping/SRR13687762.sorted.bam	mapping/SRR13687763.sorted.bam	mapping/SRR13687764.sorted.bam	mapping/SRR13687765.sorted.bam	mapping/SRR13687766.sorted.bam	mapping/SRR13687767.sorted.bam	mapping/SRR13687768.sorted.bam	mapping/SRR13687769.sorted.bam
Rvnt01	NC_000962.3	10887	10960	+	74	747	812	1518	511	729	411	307	445	619	469	590	590	684	817	448	326	647	677	643	647	378	509	1045	1837	369	543	632
Rvnt02	NC_000962.3	11112	11184	+	73	276	238	385	207	265	180	119	214	251	217	259	203	244	302	208	128	259	197	226	317	154	180	288	645	161	225	207
Rvnt03	NC_000962.3	25644	25726	+	83	383	366	542	223	352	228	241	387	397	289	420	331	400	504	257	188	377	293	421	423	246	283	461	1077	218	300	329
RVnc0008	NC_000962.3	293604	293705	+	102	1122	1169	1177	529	708	532	209	306	280	915	1047	1042	659	668	586	383	615	507	826	1044	666	612	642	600	466	437	472
Rvnt04	NC_000962.3	386204	386274	-	71	3938	5254	10373	3732	6051	2642	2845	4020	5556	2437	2858	2570	3495	4999	2467	1837	5214	4766	4100	3570	1857	2163	5224	11313	1839	2901	3020
Rvnt05	NC_000962.3	658109	658189	+	81	37	43	86	23	31	13	17	27	29	41	26	32	22	14	12	6	19	17	34	29	27	10	22	54	18	12	15
RVnc0005	NC_000962.3	704187	704247	+	61	188	170	167	100	132	96	53	95	81	174	184	146	292	299	218	131	193	142	198	218	125	205	215	251	156	100	130
Rvnt06	NC_000962.3	731494	731566	+	73	3210	3379	6584	2628	3905	1888	2305	3130	4087	2294	2856	2504	3467	4396	2411	1516	4320	2994	3302	3937	1878	2162	5019	12116	1748	3076	2940
Rvnt07	NC_000962.3	731603	731676	+	74	1339	1210	1482	669	1111	696	750	1143	1336	974	1043	1044	877	987	727	596	913	718	1307	1671	945	502	776	1463	415	527	537
Rvnt08	NC_000962.3	733524	733596	+	73	5325	4723	4801	2871	3675	3253	1504	1838	2011	3246	4011	3416	3643	4186	3162	1984	2642	2035	4029	4628	2977	1962	2359	2242	1670	1332	1784
Rvnt09	NC_000962.3	850642	850713	-	72	668	750	1486	732	962	473	606	737	811	431	565	459	917	1233	649	469	1039	819	697	926	447	553	1072	2572	383	639	715
RVnc0002	NC_000962.3	918264	918458	+	195	13190	11712	11979	13821	15178	14084	7937	8891	10092	7918	9270	8078	9641	10282	9018	4916	7205	6351	6208	7856	4692	3650	3407	3254	2868	2460	2470
Rvnt10	NC_000962.3	923803	923875	-	73	300	439	846	257	415	225	249	329	402	247	292	265	320	481	236	151	202	417	316	341	154	204	587	1352	199	349	416
Rvnt11	NC_000962.3	923999	924072	+	74	1107	894	1746	539	925	636	500	653	893	553	668	747	475	592	329	260	353	473	700	783	390	257	624	964	164	226	310
Rvnt12	NC_000962.3	924110	924183	+	74	782	856	1552	532	741	322	417	592	790	508	596	626	589	691	452	314	654	570	558	656	341	497	949	2465	316	549	550
Rvnt13	NC_000962.3	924213	924286	+	74	225	199	239	109	125	121	71	83	91	144	173	161	97	95	74	48	68	62	149	201	96	50	52	67	33	28	46
Rvnt14	NC_000962.3	1025321	1025393	-	73	247	249	456	189	301	179	115	238	284	212	200	235	246	401	197	146	317	240	257	206	150	177	344	814	149	227	276
